,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
346,"Obama, Barack",Far West,2012-10-01 00:00:00,-32533.9
347,"Obama, Barack",Far West,2012-10-02 00:00:00,-6813.0
348,"Obama, Barack",Far West,2012-10-03 00:00:00,-4505.0
349,"Obama, Barack",Far West,2012-10-04 00:00:00,-6755.0
350,"Obama, Barack",Far West,2012-10-05 00:00:00,-11339.0
351,"Obama, Barack",Far West,2012-10-06 00:00:00,-30.0
352,"Obama, Barack",Far West,2012-10-07 00:00:00,-1200.0
353,"Obama, Barack",Far West,2012-10-08 00:00:00,-50752.75
354,"Obama, Barack",Far West,2012-10-09 00:00:00,-9213.0
355,"Obama, Barack",Far West,2012-10-10 00:00:00,-2738.12
356,"Obama, Barack",Far West,2012-10-11 00:00:00,-2928.0
357,"Obama, Barack",Far West,2012-10-12 00:00:00,-13727.0
358,"Obama, Barack",Far West,2012-10-13 00:00:00,-11573.5
359,"Obama, Barack",Far West,2012-10-14 00:00:00,-3000.0
360,"Obama, Barack",Far West,2012-10-15 00:00:00,-27380.0
361,"Obama, Barack",Far West,2012-10-16 00:00:00,-6046.0
362,"Obama, Barack",Far West,2012-10-17 00:00:00,-6096.0
363,"Obama, Barack",Far West,2012-10-18 00:00:00,-18792.6
364,"Obama, Barack",Far West,2012-10-19 00:00:00,-20084.66
365,"Obama, Barack",Far West,2012-10-20 00:00:00,-530.0
366,"Obama, Barack",Far West,2012-10-21 00:00:00,-207.0
367,"Obama, Barack",Far West,2012-10-22 00:00:00,-8326.0
368,"Obama, Barack",Far West,2012-10-23 00:00:00,-21792.0
369,"Obama, Barack",Far West,2012-10-24 00:00:00,-20556.0
370,"Obama, Barack",Far West,2012-10-25 00:00:00,-71954.0
371,"Obama, Barack",Far West,2012-10-26 00:00:00,-12768.0
372,"Obama, Barack",Far West,2012-10-27 00:00:00,-150.0
373,"Obama, Barack",Far West,2012-10-28 00:00:00,-922.0
374,"Obama, Barack",Far West,2012-10-29 00:00:00,-31429.0
375,"Obama, Barack",Far West,2012-10-30 00:00:00,-5938.0
376,"Obama, Barack",Far West,2012-10-31 00:00:00,-5095.5
377,"Obama, Barack",Far West,2012-11-01 00:00:00,-8670.0
378,"Obama, Barack",Far West,2012-11-02 00:00:00,-7062.0
379,"Obama, Barack",Far West,2012-11-04 00:00:00,-24323.84
380,"Obama, Barack",Far West,2012-11-05 00:00:00,-116531.8
381,"Obama, Barack",Far West,2012-11-06 00:00:00,-17485.0
382,"Obama, Barack",Far West,2012-11-07 00:00:00,-470.0
383,"Obama, Barack",Far West,2012-11-08 00:00:00,-1354.0
384,"Obama, Barack",Far West,2012-11-09 00:00:00,-1915.0
385,"Obama, Barack",Far West,2012-11-12 00:00:00,-100.0
386,"Obama, Barack",Far West,2012-11-13 00:00:00,-14942.0
387,"Obama, Barack",Far West,2012-11-14 00:00:00,-10801.25
388,"Obama, Barack",Far West,2012-11-15 00:00:00,-36217.0
389,"Obama, Barack",Far West,2012-11-16 00:00:00,-44549.17
390,"Obama, Barack",Far West,2012-11-19 00:00:00,-34202.89
391,"Obama, Barack",Far West,2012-11-20 00:00:00,-4409.87
392,"Obama, Barack",Far West,2012-11-21 00:00:00,-8464.0
393,"Obama, Barack",Far West,2012-11-22 00:00:00,-13253.0
394,"Obama, Barack",Far West,2012-11-23 00:00:00,-1963.0
395,"Obama, Barack",Far West,2012-11-26 00:00:00,-21832.0
396,"Obama, Barack",Far West,2012-11-27 00:00:00,-25440.5
397,"Obama, Barack",Far West,2012-11-28 00:00:00,-6845.0
398,"Obama, Barack",Far West,2012-11-29 00:00:00,-11434.0
399,"Obama, Barack",Far West,2012-11-30 00:00:00,-3565.0
400,"Obama, Barack",Far West,2012-12-01 00:00:00,-500.0
401,"Obama, Barack",Far West,2012-12-03 00:00:00,-3090.0
402,"Obama, Barack",Far West,2012-12-04 00:00:00,-7260.0
403,"Obama, Barack",Far West,2012-12-05 00:00:00,-12460.08
404,"Obama, Barack",Far West,2012-12-06 00:00:00,-4319.0
405,"Obama, Barack",Far West,2012-12-07 00:00:00,-33960.56
406,"Obama, Barack",Far West,2012-12-08 00:00:00,-1025.0
407,"Obama, Barack",Far West,2012-12-10 00:00:00,-7222.0
408,"Obama, Barack",Far West,2012-12-11 00:00:00,-23385.05
